Name,Simbad Name,FITS Name,V,B-V,U-B,V-R,R-I,U,B,R,I
PG 1633+099,PG_1633+099,PG_1633+099,14.397,-0.192,-0.974,-0.093,-0.116,13.231,14.205,14.49,14.606
PG 1633+099A,GSC_00964-01614,PG_1633+099,15.256,0.873,0.32,0.505,0.511,16.449,16.129,14.751,14.24
PG 1633+099D,GSC_00964-01181,PG_1633+099,13.691,0.535,-0.025,0.324,0.327,14.201,14.226,13.367,13.04
SA 110-349,SA_110349,110_355,15.095,1.088,0.668,0.503,-0.059,16.851,16.183,14.592,14.651
SA 110-355,SA_110355,110_355,11.944,1.023,0.504,0.652,0.727,13.471,12.967,11.292,10.565
SA 104-330,SA_104330,104334,15.296,0.594,-0.028,0.369,0.371,15.862,15.89,14.927,14.556
SA 104-334,SA_104334,104334,13.484,0.518,-0.067,0.323,0.331,13.935,14.002,13.161,12.83
SA 104-336,SA_104336,104334,14.404,0.83,0.495,0.461,0.403,15.729,15.234,13.943,13.54
SA 104-338,SA_104338,104334,16.059,0.591,-0.082,0.348,0.372,16.568,16.65,15.711,15.339
SA 104-339,SA_104339,104334,15.459,0.832,0.709,0.476,0.374,17,16.291,14.983,14.609
